                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.39235,                0.35598,                 0.5313,                0.76889,                0.85596,                0.80957,                0.91993,                0.82412,                0.85596,                0.80957,                 0.9196,                0.57102,                0.37788,                0.34024,                0.58892,                0.77078,              0.0007526,              0.0007526,              0.0007526
                     66,                0.38604,                0.35783,                0.52936,                0.76876,                 0.8506,                0.81164,                 0.9204,                0.83667,                 0.8506,                0.81164,                0.92023,                 0.6026,                 0.3416,                0.33369,                0.57354,                0.76932,              0.0007328,              0.0007328,              0.0007328
                     67,                0.38115,                0.36428,                0.53554,                0.77009,                0.83579,                0.82625,                0.91964,                0.83573,                0.83579,                0.82625,                0.91898,                0.57764,                0.35463,                0.35614,                0.56315,                0.76983,               0.000713,               0.000713,               0.000713
                     68,                0.38228,                0.35253,                0.53759,                0.77169,                0.84001,                0.82495,                0.91865,                0.83145,                0.84001,                0.82495,                0.91818,                0.57923,                0.34475,                0.33607,                0.55813,                0.76978,              0.0006932,              0.0006932,              0.0006932
                     69,                0.38147,                0.35335,                0.53646,                0.77187,                0.87433,                0.78564,                0.91961,                0.83776,                0.87433,                0.78564,                0.91936,                 0.5827,                0.33969,                 0.3128,                0.56462,                0.76795,              0.0006734,              0.0006734,              0.0006734
                     70,                0.37686,                0.35591,                0.53157,                0.76595,                0.85562,                0.80166,                0.92292,                0.83625,                0.85562,                0.80166,                0.92217,                 0.5754,                0.35729,                0.32327,                0.55226,                0.76938,              0.0006536,              0.0006536,              0.0006536
                     71,                0.38201,                0.34526,                0.53448,                0.76876,                0.86995,                0.80749,                0.92124,                0.84111,                0.86995,                0.80749,                0.92087,                0.58866,                 0.3396,                0.35274,                0.55896,                0.76879,              0.0006338,              0.0006338,              0.0006338
                     72,                0.36945,                0.36078,                0.51766,                0.76867,                0.82907,                0.82518,                0.92007,                0.83294,                0.82907,                0.82518,                0.91928,                0.57794,                0.34427,                0.34254,                0.55107,                0.77002,               0.000614,               0.000614,               0.000614
                     73,                0.37377,                0.34428,                0.53649,                0.76867,                0.84461,                0.82012,                 0.9222,                0.83985,                0.84461,                0.82012,                0.92187,                0.58713,                0.34469,                0.31522,                0.55845,                0.76911,              0.0005942,              0.0005942,              0.0005942
                     74,                0.37108,                0.35087,                 0.5319,                0.77068,                0.83434,                0.83351,                0.92143,                0.83779,                0.83434,                0.83351,                0.92027,                0.58081,                0.34131,                0.33227,                0.56364,                0.76818,              0.0005744,              0.0005744,              0.0005744
                     75,                0.37033,                0.33552,                 0.5163,                0.76778,                 0.8505,                 0.8179,                0.92036,                0.83461,                 0.8505,                 0.8179,                0.91974,                0.58961,                0.33535,                0.32698,                0.55275,                0.76862,              0.0005546,              0.0005546,              0.0005546
                     76,                0.37424,                 0.3437,                0.52711,                 0.7668,                0.83821,                0.83021,                0.92485,                0.83856,                0.83821,                0.83021,                0.92463,                0.57713,                0.33357,                0.31773,                 0.5376,                0.76781,              0.0005348,              0.0005348,              0.0005348
                     77,                0.36768,                0.34241,                0.52794,                 0.7694,                0.83446,                0.83039,                0.92338,                0.83703,                0.83446,                0.83039,                0.92254,                0.58447,                0.33747,                0.30442,                0.54648,                0.76897,               0.000515,               0.000515,               0.000515
                     78,                0.35969,                0.33915,                0.51484,                0.76903,                0.84463,                 0.8231,                0.92228,                0.84117,                0.84463,                 0.8231,                 0.9219,                0.58067,                0.32145,                0.30188,                0.53871,                0.76792,              0.0004952,              0.0004952,              0.0004952
